year,ordinary_taxes,special_taxes,taxes,environmental_taxes,royalties,area_fees,royalties_and_area_fees,net_cash_flow_from_SDFI,equinor_dividend,state_net_cash_flow
2006,111.473425437143,190.742940568545,302.216366005687,4.86530812809678,0.0600126112716783,3.29783587654842,3.3578484878201,179.356696098771,17.9937812796249,507.79
2007,97.6374637712974,161.471855594709,259.109319366007,5.38432567672113,0,1.0606661324522,1.0606661324522,154.52885481921,19.4568340056105,439.54
2008,118.806281219128,201.800570549463,320.606851768591,4.92844969460483,0,2.46498069687219,2.46498069687219,205.706294049106,22.6634237908262,556.37
2009,82.5731573939716,139.275155460055,221.848312854027,3.03703162591118,0,1.97366776750196,1.97366776750196,128.004974112534,20.7960136400258,375.66
2010,77.6894237923219,127.803922236905,205.493346029227,2.8867768215199,0,1.81314939430321,1.81314939430321,137.409598158316,16.9271295966341,364.53
2011,100.193328088254,163.516054389191,263.709382477445,2.84920254842434,0,1.94257989481336,1.94257989481336,163.621058707829,17.0977763714884,449.22
2012,107.647799045724,179.241119239007,286.88891828473,2.82910605512753,0,2.23442921693221,2.23442921693221,186.79502059507,17.4225258481401,496.17
2013,94.117330169519,155.035544294849,249.152874464368,3.99625858677166,0,2.10199244972519,2.10199244972519,153.687796194731,17.8310783044041,426.77
2014,78.1295309110977,128.776477341273,206.906008252371,5.57025154972599,0,1.86891795115315,1.86891795115315,137.320449901819,27.5543723449311,379.22
2015,47.9772479439188,78.0187807839454,125.996028727864,5.99518109550755,0,1.88496368926256,1.88496368926256,112.679750750269,18.6940757370965,265.25
2016,19.2434174542102,30.0739040871878,49.317321541398,6.12977153094639,0,1.68424865368117,1.68424865368117,79.756092656317,12.8625656176574,149.75
2017,27.837451153471,48.6060533731633,76.4435045266343,6.08967616754719,0,1.10366399503819,1.10366399503819,103.734320180524,9.86883513025656,197.24
2018,44.2099912734749,82.3333656892162,126.54335696269101,5.95699233739376,0,2.04187297526688,2.04187297526688,136.149336903638,17.1884408210106,287.88
2019,48.4598211519449,101.953668039327,150.413489191272,6.05142171554013,0,1.69565996683818,1.69565996683818,108.711520850686,22.5979082756634,289.47
2020,18.6139503861456,12.9802393634449,31.5941897495904,6.23469955534753,0,1.57815136906155,1.57815136906155,62.7554451673297,16.7275141586707,118.89
2021,35.8532674045719,55.2576790963158,91.1109465008877,5.52540254227637,0,0.998789202933451,0.998789202933451,196.825605306737,11.1548412537689,305.615584806603
