date,weight,temp,nedbor,vind
11/2/2020,72255,6.9,11,21.7
11/3/2020,60188,8.3,2.9,18.3
11/4/2020,52364,5.9,4.4,17.9
11/5/2020,54078,5.6,1.2,14.5
11/6/2020,50341,5.1,1.7,16.2
11/7/2020,26580,5.8,0.2,9
11/8/2020,16992,8.8,1.4,8.5
11/9/2020,55229,8.8,0,11.8
11/10/2020,71554,7.9,0,12.3
11/11/2020,116775,8.3,0.1,14.7
11/12/2020,124764,7.8,15.5,16.3
11/13/2020,129135,9.5,6.1,11.6
11/14/2020,44332,8.2,4.6,17.7
11/15/2020,33604,3.2,4.8,18.6
11/16/2020,76060,1.4,1.5,20.1
11/17/2020,77593,2.3,3.5,19.3
11/18/2020,51693,4.9,1.2,20.5
11/19/2020,57414,6.3,23.2,14.2
11/20/2020,71622,5.2,3.1,14.8
11/21/2020,45806,4.7,0.5,14.1
11/22/2020,44719,5.5,3,13.7
11/23/2020,106003,5.6,2.8,6.1
11/24/2020,147592,6.4,0.2,13.4
11/25/2020,139638,6.6,0.6,12.8
11/26/2020,151210,7.4,3.6,17
11/27/2020,139891,5.9,16.5,19.2
11/28/2020,78148,2.8,7.3,16
11/29/2020,43790,6.6,3.4,19.3
11/30/2020,101764,5.2,15.1,15.3
12/1/2020,88657,5.5,5.1,11.3
12/2/2020,68703,3.6,3.3,16.8
12/3/2020,80489,4,2.7,13.1
12/4/2020,111991,4.5,0.8,9.6
12/5/2020,61153,6.1,0.1,11.1
12/6/2020,31337,5.6,0.5,11.8
12/7/2020,109830,5.5,2.1,11.2
12/8/2020,102303,5.1,0,6.8
12/9/2020,98576,4.1,0,5.5
12/10/2020,78580,4.3,0,5.8
12/11/2020,90106,5.3,0.1,5.9
12/12/2020,47779,4.9,0,6.9
12/13/2020,26397,3.9,0,8
12/14/2020,78371,3.3,0.4,10.2
12/15/2020,94663,4,2.8,9.5
12/16/2020,56138,5.3,2,9.6
12/17/2020,45672,7.5,8.8,13.3
12/18/2020,47681,7.1,13.7,16.5
12/19/2020,24212,6.1,5.5,16.1
12/20/2020,11717,3.8,4,6.4
12/21/2020,19767,3.8,6.3,13.9
12/22/2020,16163,2.9,0.3,14.1
12/23/2020,5495,2.1,0.2,15.3
12/24/2020,36,1.8,1.6,14.4
12/25/2020,7,6.5,0,12.5
12/26/2020,2060,5.1,0,10.1
12/27/2020,3311,4.6,0.9,9.5
12/28/2020,7511,3.4,0,7.5
12/29/2020,8252,2.5,0.1,7.7
12/30/2020,19607,4.6,0.1,8.2
12/31/2020,17849,4.1,1.5,10.8
1/1/2021,3065,5.2,0.5,10.3
1/2/2021,53800,6.3,1.8,10.4
1/3/2021,76565,5.7,2.7,11.4
1/4/2021,103142,1.5,0,11.9
1/5/2021,102836,0.4,0.1,8.6
1/6/2021,115922,3.1,0.2,16.3
1/7/2021,130193,1.8,0,17
1/8/2021,148123,0.7,1.1,10.9
1/9/2021,77690,1.2,0.4,16.9
1/10/2021,31497,0.7,0,15
1/11/2021,97298,1.7,0,5.7
1/12/2021,100271,3.4,2.4,8
1/13/2021,145154,2.5,0.6,6.8
