id,handledag,gender,age,basket2,brand1,brand4,brand5,hedonic1,hedonic2,hedonic4,confused1,confused2,confused4,perf2,perf3,perf4,careless1,careless2,careless3,value1,value2,habit1,habit2,novelty1,novelty2,novelty3
427,Saturday,Female,21-25 yr,Trolley,4,5,4,5,4,5,4,4,4,5,4,4,4,3,2,2,2,5,5,5,4,5
428,Friday,Male,21-25 yr,Basket,4,2,2,3,2,4,1,1,1,4,4,4,4,4,4,4,3,4,3,2,3,3
429,Saturday,Female,21-25 yr,Cart,4,4,4,4,4,4,3,2,1,5,5,5,1,1,2,2,3,4,5,5,4,5
430,Thursday,Female,21-25 yr,Trolley,2,2,2,5,5,5,1,2,2,2,2,2,3,2,2,2,2,4,4,4,4,4
431,Thursday,Female,51-55 yr,Arms,3,3,3,3,3,3,2,2,2,3,3,3,3,3,3,3,3,3,2,3,3,3
432,Monday,Female,21-25 yr,Basket,1,1,1,5,1,5,1,1,5,5,1,1,5,1,1,5,1,4,5,5,5,1
433,Monday,Female,16-20 yr,Trolley,2,1,1,3,2,4,4,3,2,2,2,2,5,4,4,4,3,4,3,4,4,4
434,Tuesday,Male,21-25 yr,Basket,4,4,3,2,1,2,3,1,3,4,4,5,5,5,3,3,3,5,5,5,2,3
435,Monday,Female,21-25 yr,Trolley,1,2,1,5,2,4,3,2,1,4,5,4,5,5,4,2,2,4,4,4,4,4
436,Monday,Female,21-25 yr,Trolley,3,3,3,3,2,4,4,2,2,3,3,4,2,3,4,2,2,4,4,4,4,3
437,Tuesday,Female,26-30 yr,Basket,4,1,5,2,1,1,4,1,1,4,5,5,1,1,1,2,1,5,2,4,4,4
438,Tuesday,Female,21-25 yr,Basket,2,2,2,5,3,5,2,1,2,3,2,2,4,4,2,2,3,3,2,4,4,4
440,Friday,Male,51-55 yr,Cart,4,4,4,3,3,3,2,2,2,5,4,5,2,3,1,3,2,4,3,3,3,4
441,Saturday,Female,21-25 yr,Basket,1,1,2,4,4,4,2,3,3,3,3,3,3,3,4,3,3,3,3,3,2,2
442,Saturday,Female,26-30 yr,Trolley,2,2,1,3,3,3,3,3,3,2,2,2,3,3,3,3,3,2,2,3,3,3
443,Saturday,Male,26-30 yr,Basket,2,2,2,1,1,1,2,2,1,4,2,4,4,4,2,4,2,2,4,1,1,2
444,Monday,Female,36-40 yr,Trolley,3,2,3,3,3,3,3,3,2,3,2,2,3,3,3,2,2,3,3,2,2,2
445,Monday,Male,26-30 yr,Trolley,4,3,3,2,2,2,4,4,3,3,2,3,4,4,2,4,3,4,4,2,2,3
446,Tuesday,Female,36-40 yr,Trolley,3,2,3,4,3,3,2,4,2,3,2,2,5,4,4,2,3,4,3,1,2,2
447,Tuesday,Female,21-25 yr,Trolley,3,4,2,5,4,5,4,3,3,4,3,4,4,5,4,3,2,5,4,4,4,4
448,Tuesday,Male,16-20 yr,Arms,4,4,3,4,1,4,2,1,2,4,4,5,3,2,3,4,4,3,2,3,2,4
449,Saturday,Male,21-25 yr,Arms,4,2,3,3,3,4,4,4,3,4,3,3,5,4,5,3,3,3,3,3,3,3
450,Friday,Male,36-40 yr,Cart,1,1,1,3,2,1,2,2,1,4,5,5,1,1,1,4,4,5,5,1,1,1
451,Saturday,Male,21-25 yr,Trolley,4,3,3,3,4,1,3,3,2,4,4,3,3,2,1,4,3,4,2,3,1,1
452,Tuesday,Male,21-25 yr,Arms,2,2,3,3,2,2,3,2,2,4,3,4,4,3,2,4,3,3,4,2,2,2
453,Monday,Female,21-25 yr,Cart,1,1,1,5,3,4,3,4,2,4,3,3,3,2,2,4,3,5,5,4,1,3
454,Tuesday,Male,21-25 yr,Trolley,4,4,4,2,2,2,2,3,1,5,4,4,2,3,1,3,3,2,2,4,4,4
455,Saturday,Male,21-25 yr,Trolley,3,2,4,4,4,3,4,4,3,2,3,4,2,1,1,4,2,3,4,2,2,2
456,Saturday,Male,21-25 yr,Basket,4,3,5,4,3,3,3,2,1,5,4,3,5,5,4,2,2,5,5,5,5,4
457,Tuesday,Female,26-30 yr,Trolley,4,2,2,4,4,3,4,3,3,3,4,3,3,3,2,4,3,4,4,2,2,3
458,Tuesday,Female,16-20 yr,Basket,3,2,3,5,5,5,1,1,3,4,4,5,4,4,5,1,1,5,5,4,5,4
459,Monday,Female,16-20 yr,Trolley,4,4,4,4,4,4,4,4,3,5,5,4,5,5,4,5,2,4,4,2,2,4
460,Monday,Male,21-25 yr,Basket,5,4,5,4,4,5,2,1,2,5,5,5,4,5,2,1,1,5,5,1,1,2
461,Tuesday,Female,41-45 yr,Basket,4,3,3,4,4,4,2,2,2,4,4,4,4,4,3,3,2,4,3,3,2,3
462,Monday,Male,46-50 yr,Trolley,1,1,2,3,2,3,2,2,1,3,4,3,4,2,1,3,3,3,3,1,1,3
463,Monday,Female,46-50 yr,Basket,2,2,2,3,3,3,3,2,2,4,3,3,4,4,3,4,4,3,3,3,3,2
464,Tuesday,Male,16-20 yr,Basket,3,2,3,4,2,2,2,3,2,4,3,4,3,3,2,5,4,4,3,4,3,4
465,Tuesday,Male,21-25 yr,Trolley,5,4,4,5,4,4,2,4,4,5,4,5,5,5,5,5,2,5,5,3,3,5
466,Saturday,Male,51-55 yr,Arms,4,3,3,2,2,2,2,3,2,4,4,4,2,3,2,2,1,4,4,2,3,3
467,Tuesday,Male,31-35 yr,Cart,4,3,3,4,3,2,3,3,3,4,3,4,2,2,2,3,3,3,3,4,4,4
468,Friday,Male,21-25 yr,Trolley,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
469,Friday,Male,21-25 yr,Basket,2,3,1,3,3,2,2,1,2,3,1,1,3,3,2,1,1,2,2,2,2,3
470,Friday,Male,21-25 yr,Basket,4,2,3,5,4,5,2,3,2,3,4,3,4,4,4,4,3,5,4,2,2,3
471,Tuesday,Female,21-25 yr,Trolley,3,2,2,3,2,4,2,4,3,3,3,3,2,2,3,4,4,2,4,4,3,4
472,Saturday,Female,21-25 yr,Basket,3,2,3,4,2,3,2,4,2,3,4,3,4,3,2,3,3,4,3,3,3,2
473,Tuesday,Male,21-25 yr,Cart,2,2,2,4,2,2,2,3,2,3,3,3,4,4,3,4,3,4,4,4,2,3
474,Monday,Male,21-25 yr,Basket,5,5,5,1,1,1,1,1,1,5,4,5,1,5,1,1,1,5,5,1,1,1
475,Thursday,Male,21-25 yr,Arms,3,2,4,3,3,4,3,1,1,5,5,4,3,4,2,3,1,4,3,3,3,3
476,Tuesday,Female,21-25 yr,Trolley,2,2,2,4,3,4,4,3,4,4,3,3,4,4,4,4,4,3,2,3,3,2
477,Tuesday,Male,21-25 yr,Arms,2,2,3,3,2,3,1,2,3,3,2,2,3,4,4,5,3,5,3,3,4,4
478,Friday,Male,26-30 yr,Arms,4,4,4,2,1,1,3,3,2,4,4,4,2,3,3,4,3,4,4,2,1,4
479,Tuesday,Female,16-20 yr,Arms,3,3,3,4,5,4,3,2,3,4,3,4,4,4,3,3,3,5,4,5,5,4
480,Monday,Male,16-20 yr,Trolley,3,1,1,2,2,2,1,1,1,4,3,3,3,2,2,4,4,1,3,1,1,2
481,Wednesday,Male,21-25 yr,Basket,3,4,3,3,3,4,2,4,2,4,4,4,4,4,2,4,4,4,4,3,4,4
482,Tuesday,Female,21-25 yr,Basket,2,3,3,3,3,2,2,2,2,4,4,4,4,3,3,2,3,3,4,2,2,4
483,Monday,Male,21-25 yr,Basket,2,3,2,1,1,1,2,2,2,4,4,3,3,2,4,3,3,2,2,1,1,1
484,Tuesday,Female,21-25 yr,Arms,2,1,2,4,1,4,1,2,1,3,2,2,2,3,2,5,5,4,5,3,2,3
485,Friday,Female,21-25 yr,Arms,1,3,1,2,2,2,4,2,2,5,3,3,5,3,3,4,4,4,4,1,1,3
486,Saturday,Female,26-30 yr,Arms,2,4,3,5,5,5,1,1,1,4,3,3,4,4,2,2,1,2,3,5,5,5
487,Saturday,Female,21-25 yr,Basket,1,1,1,1,1,1,5,2,2,2,2,2,2,2,2,3,3,5,4,1,1,1
488,Tuesday,Female,26-30 yr,Basket,3,1,2,5,4,4,2,1,2,5,4,5,2,2,2,4,3,4,3,5,4,5
489,Friday,Female,56-60 yr,Cart,2,2,2,2,2,2,5,4,4,2,2,3,2,2,2,4,4,2,4,1,2,2
490,Tuesday,Female,21-25 yr,Basket,3,1,3,3,2,1,2,2,1,4,4,4,2,2,2,4,4,3,3,2,2,2
491,Monday,Female,21-25 yr,Cart,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,1,3,1,2,2,2
492,Monday,Female,16-20 yr,Basket,3,2,2,3,2,4,2,2,2,3,3,4,2,2,1,4,3,4,3,3,3,3
493,Monday,Male,26-30 yr,Cart,1,2,2,2,2,2,3,2,2,1,1,2,3,3,2,1,3,1,1,2,2,3
494,Saturday,Male,21-25 yr,Arms,1,1,1,1,1,1,3,3,2,5,4,4,4,4,2,4,4,3,4,1,1,1
495,Monday,Female,21-25 yr,Trolley,1,1,1,2,1,1,2,2,1,1,1,2,3,3,1,3,2,2,3,2,2,2
496,Tuesday,Male,36-40 yr,Basket,4,4,3,2,2,2,4,2,3,3,2,2,2,2,2,2,3,4,4,2,2,2
497,Tuesday,Female,21-25 yr,Trolley,3,3,2,5,4,4,3,3,4,4,4,4,3,4,2,3,4,3,4,3,3,4
498,Monday,Male,21-25 yr,Arms,2,2,1,1,1,1,2,2,1,2,5,2,4,3,4,3,3,3,3,1,3,3
499,Monday,Male,21-25 yr,Arms,2,3,2,3,2,3,2,2,2,2,2,2,1,1,2,2,2,1,2,2,2,2
500,Monday,Male,21-25 yr,Basket,1,3,1,4,3,4,1,3,2,2,2,2,3,3,2,4,4,2,3,1,1,2
501,Friday,Female,21-25 yr,Basket,3,3,3,5,4,4,2,2,2,4,4,3,5,5,3,4,3,4,4,3,3,4
502,Saturday,Male,21-25 yr,Trolley,3,3,2,2,2,4,2,2,2,5,3,5,2,2,4,2,2,5,4,3,2,5
503,Saturday,Female,26-30 yr,Trolley,4,3,3,4,2,3,2,2,2,3,3,3,4,3,2,1,1,4,3,3,2,2
504,Saturday,Female,51-55 yr,Trolley,2,2,2,3,2,2,4,2,4,4,4,4,5,3,2,2,2,2,3,3,3,3
505,Friday,Female,51-55 yr,Trolley,2,2,2,3,2,2,4,2,4,4,4,4,5,3,2,2,2,2,3,3,3,3
506,Monday,Female,41-45 yr,Trolley,2,1,2,4,1,3,4,2,2,2,2,2,3,4,2,2,4,2,2,4,4,3
507,Monday,Female,26-30 yr,Trolley,3,2,2,5,4,5,2,3,1,4,3,4,3,4,3,5,3,2,3,1,1,3
508,Monday,Female,16-20 yr,Cart,4,4,4,5,5,5,3,4,2,5,5,5,5,1,1,1,1,5,4,5,3,5
509,Wednesday,Female,31-35 yr,Basket,1,1,1,5,3,3,1,2,2,4,4,4,5,5,3,3,3,4,2,3,3,4
510,Wednesday,Male,36-40 yr,Trolley,3,2,2,3,2,2,4,4,3,4,4,4,2,3,2,4,3,3,4,2,2,2
511,Wednesday,Female,16-20 yr,Arms,2,2,2,5,5,5,4,1,3,2,1,3,5,5,4,5,3,4,4,2,3,5
512,Tuesday,Female,16-20 yr,Basket,3,2,4,4,4,4,2,2,2,4,4,4,4,4,3,4,2,4,3,5,4,4
513,Tuesday,Female,16-20 yr,Basket,4,1,4,4,4,3,4,2,4,5,3,4,4,4,4,4,3,4,4,4,3,2
514,Monday,Female,16-20 yr,Basket,1,1,2,3,1,4,3,4,2,4,4,5,3,2,2,5,5,4,4,1,1,1
515,Tuesday,Male,16-20 yr,Arms,3,1,3,3,3,2,3,2,2,1,3,3,1,1,1,3,3,1,1,2,2,2
516,Wednesday,Female,51-55 yr,Trolley,2,2,2,2,2,2,2,2,2,5,5,5,3,2,2,3,2,2,2,1,1,1
517,Tuesday,Male,31-35 yr,Basket,2,2,2,1,1,1,3,2,2,2,2,2,2,3,2,3,3,3,2,2,1,2
518,Monday,Female,21-25 yr,Basket,2,2,2,2,2,3,1,1,2,1,1,1,1,3,1,1,1,1,1,1,2,1
519,Tuesday,Female,21-25 yr,Arms,2,3,2,3,2,3,3,4,4,4,4,3,2,2,3,3,2,4,4,4,2,3
520,Wednesday,Male,21-25 yr,Basket,3,3,2,4,4,3,2,3,3,3,2,2,4,4,2,4,3,4,3,4,4,5
521,Tuesday,Female,51-55 yr,Arms,2,1,3,4,1,1,2,1,1,4,4,5,2,4,2,5,3,4,3,1,1,1
522,Saturday,Female,21-25 yr,Basket,2,1,1,4,3,5,3,2,2,3,3,3,4,3,2,3,4,4,4,3,2,3
523,Tuesday,Male,21-25 yr,Trolley,5,2,3,1,1,1,1,1,3,4,3,4,5,5,5,4,1,4,3,1,1,2
524,Wednesday,Female,21-25 yr,Arms,3,3,1,4,4,4,5,5,4,3,1,1,5,3,2,3,3,1,3,2,3,3
525,Monday,Male,26-30 yr,Basket,1,1,1,3,3,2,1,1,1,2,1,2,5,5,5,4,2,4,3,1,1,1
526,Tuesday,Male,21-25 yr,Trolley,1,2,1,4,4,2,1,1,1,5,4,5,4,4,2,3,4,4,3,3,3,3
527,Wednesday,Male,21-25 yr,Arms,3,3,3,2,2,2,3,3,3,3,3,3,2,2,2,2,2,3,3,4,4,4
528,Tuesday,Male,21-25 yr,Basket,3,2,2,1,1,1,1,3,1,2,2,2,1,1,5,1,4,2,1,4,2,2
529,Monday,Male,21-25 yr,Arms,3,3,2,4,2,4,3,3,4,4,2,3,4,4,4,5,4,3,4,4,2,2
530,Tuesday,Female,51-55 yr,Trolley,2,2,2,2,2,2,3,3,3,3,2,2,3,3,3,3,3,4,4,2,2,2
531,Wednesday,Male,56-60 yr,Cart,4,3,3,4,2,2,4,2,2,4,3,4,2,2,1,3,4,4,4,2,3,3
532,Saturday,Female,21-25 yr,Trolley,2,3,2,3,2,4,4,4,2,3,3,3,4,4,2,5,3,4,3,3,4,3
533,Saturday,Female,21-25 yr,Basket,2,3,2,4,4,4,3,3,1,5,4,4,3,2,1,4,3,2,2,3,4,3
534,Wednesday,Female,71-75 yr,Arms,5,5,5,5,5,5,1,2,1,1,2,5,1,2,1,1,1,1,2,5,5,5
535,Tuesday,Male,56-60 yr,Cart,3,3,3,3,2,2,3,3,2,3,3,3,3,3,2,3,3,3,2,3,3,3
536,Monday,Female,41-45 yr,Trolley,3,3,3,2,2,2,3,3,3,4,3,4,3,3,2,4,3,4,4,3,3,3
537,Monday,Male,21-25 yr,Arms,5,2,4,2,1,2,2,2,2,4,4,4,3,3,3,4,3,4,4,2,2,4
538,Wednesday,Male,31-35 yr,Trolley,2,4,2,2,2,2,4,2,2,2,2,2,4,4,3,2,2,2,4,2,2,2
539,Wednesday,Male,16-20 yr,Arms,4,3,4,4,2,2,2,2,2,3,3,4,2,3,1,4,3,4,4,3,2,4
540,Tuesday,Male,51-55 yr,Basket,3,1,3,1,1,1,2,3,1,3,3,3,3,2,1,5,3,4,3,2,2,2
541,Tuesday,Male,21-25 yr,Arms,3,3,3,3,3,3,3,3,3,3,4,4,3,5,3,3,3,4,4,3,4,5
542,Saturday,Male,21-25 yr,Cart,4,2,3,2,2,2,2,3,2,4,4,4,4,4,4,2,2,4,4,3,3,3
543,Friday,Female,46-50 yr,Basket,2,2,2,3,2,3,4,4,3,4,4,3,3,3,3,4,4,3,3,2,2,2
544,Saturday,Male,56-60 yr,Basket,3,3,3,3,1,2,2,2,2,4,4,3,4,3,3,3,3,3,4,2,2,2
545,Tuesday,Male,16-20 yr,Trolley,4,2,4,4,2,4,2,2,2,4,3,3,3,2,3,5,2,3,3,5,3,3
546,Wednesday,Male,21-25 yr,Arms,2,2,1,4,2,3,1,1,1,5,4,5,4,4,1,2,1,5,4,4,3,4
547,Thursday,Female,46-50 yr,Trolley,4,2,4,2,1,1,4,4,2,4,4,2,3,2,2,3,2,3,3,3,4,3
548,Wednesday,Male,21-25 yr,Basket,2,2,2,4,1,4,1,1,1,4,4,2,3,4,2,3,4,5,4,2,4,2
549,Tuesday,Male,21-25 yr,Trolley,4,4,4,2,1,2,2,2,2,4,4,3,2,4,2,3,3,2,4,1,1,1
550,Wednesday,Female,21-25 yr,Basket,1,1,1,4,1,4,1,1,1,5,5,5,1,4,1,5,5,4,4,4,2,4
551,Tuesday,Male,16-20 yr,Trolley,3,2,2,2,2,3,3,3,1,3,1,3,2,2,2,1,1,2,3,3,2,2
552,Wednesday,Female,16-20 yr,Trolley,2,3,4,4,3,4,5,5,3,4,4,4,2,2,2,2,2,4,4,2,2,4
553,Wednesday,Female,21-25 yr,Basket,1,3,1,5,5,5,4,3,2,4,3,3,5,5,3,4,3,3,4,4,3,3
554,Thursday,Female,16-20 yr,Arms,3,2,2,2,1,1,2,2,2,4,2,2,3,3,2,4,3,4,4,4,2,4
555,Thursday,Male,21-25 yr,Trolley,4,3,3,2,2,2,3,3,3,3,3,3,3,4,3,4,3,3,3,4,3,4
556,Thursday,Female,16-20 yr,Trolley,1,1,1,2,1,2,4,2,1,2,4,3,2,2,4,4,3,3,4,2,2,2
557,Tuesday,Female,31-35 yr,Trolley,3,2,2,3,3,3,2,2,2,4,4,4,3,3,3,2,2,4,3,4,4,3
558,Monday,Female,21-25 yr,Arms,4,2,4,5,4,4,2,1,2,5,4,4,2,2,3,3,2,5,5,4,3,3
559,Tuesday,Female,21-25 yr,Basket,2,1,1,4,3,4,2,2,2,4,4,4,2,4,2,4,4,4,4,3,4,3
560,Wednesday,Male,16-20 yr,Trolley,4,4,4,2,1,1,3,3,2,5,5,5,2,2,2,5,3,4,4,4,3,4
561,Wednesday,Male,21-25 yr,Basket,2,3,2,4,3,3,1,2,2,4,3,3,2,2,3,3,4,2,2,3,3,4
562,Tuesday,Female,21-25 yr,Trolley,3,2,2,3,3,3,3,4,3,4,4,4,4,4,4,5,4,4,4,3,2,3
563,Monday,Female,26-30 yr,Trolley,2,3,3,4,1,3,3,4,4,4,4,3,4,4,2,2,3,4,4,4,3,2
564,Tuesday,Female,46-50 yr,Cart,2,4,2,3,3,3,2,2,2,4,4,4,5,4,3,3,2,4,3,3,3,3
565,Wednesday,Female,61-65 yr,Trolley,2,1,1,3,2,3,2,2,2,2,1,1,3,3,2,3,3,3,3,2,1,1
566,Wednesday,Male,36-40 yr,Arms,4,4,2,3,3,2,2,2,2,4,5,4,4,2,1,4,3,4,3,2,2,2
567,Wednesday,Female,26-30 yr,Arms,4,2,2,4,4,4,2,4,3,5,4,4,3,4,3,4,4,5,4,3,2,2
568,Wednesday,Female,26-30 yr,Basket,2,2,3,3,2,3,3,2,3,3,4,3,4,4,4,4,3,4,3,3,4,4
569,Tuesday,Female,16-20 yr,Arms,4,4,5,3,4,3,3,3,4,5,4,4,3,3,4,5,3,5,5,5,4,4
571,Tuesday,Female,26-30 yr,Basket,4,1,1,4,4,4,2,2,4,4,3,2,2,2,2,4,3,4,4,2,3,4
572,Wednesday,Female,26-30 yr,Basket,1,3,2,4,2,4,2,2,2,5,5,5,3,3,3,5,3,4,3,4,3,4
573,Tuesday,Female,21-25 yr,Basket,3,2,2,2,1,2,2,2,1,5,5,5,3,3,2,4,4,4,4,3,2,1
574,Monday,Female,21-25 yr,Arms,2,3,3,5,5,3,3,3,2,3,3,3,5,4,3,5,3,3,3,3,2,2
575,Tuesday,Female,21-25 yr,Basket,2,4,1,2,2,4,1,2,1,4,4,4,2,1,1,4,3,3,4,3,2,3
576,Wednesday,Female,21-25 yr,Basket,1,3,2,4,3,4,4,2,2,3,4,4,4,4,4,4,2,5,5,2,2,4
577,Tuesday,Female,36-40 yr,Cart,2,2,4,4,2,2,2,2,1,2,2,2,4,4,2,4,2,4,4,2,2,4
578,Monday,Female,26-30 yr,Basket,2,2,1,1,1,1,2,2,2,5,5,4,4,5,4,3,4,3,3,1,1,3
579,Saturday,Female,16-20 yr,Trolley,1,1,1,4,4,4,3,3,2,3,4,4,5,5,1,5,5,5,5,1,1,1
580,Wednesday,Female,26-30 yr,Arms,2,3,2,4,3,4,4,2,2,3,4,3,4,4,4,3,2,2,3,4,4,3
581,Tuesday,Female,16-20 yr,Basket,2,1,1,3,3,4,4,2,4,3,4,3,2,2,2,2,4,3,3,2,3,3
582,Tuesday,Female,21-25 yr,Trolley,2,3,2,4,3,3,2,2,2,4,4,3,4,4,4,2,2,4,4,3,3,3
583,Wednesday,Male,21-25 yr,Arms,3,3,1,1,1,1,2,2,2,4,5,4,2,3,1,3,3,5,5,1,1,1
584,Thursday,Male,21-25 yr,Arms,3,4,4,4,2,2,2,2,2,4,4,4,2,2,2,2,2,4,4,4,3,4
585,Tuesday,Female,16-20 yr,Arms,1,1,1,4,3,4,2,2,2,2,3,4,4,4,3,4,4,3,4,4,3,4
586,Thursday,Female,26-30 yr,Trolley,2,2,3,3,2,3,3,2,2,4,4,4,4,4,2,4,2,3,4,3,3,3
587,Thursday,Male,56-60 yr,Trolley,3,1,1,3,1,1,4,4,2,4,4,4,2,1,3,2,3,3,4,3,3,1
588,Thursday,Female,16-20 yr,Trolley,2,3,2,4,4,4,4,3,4,3,3,3,4,4,4,5,5,4,3,2,2,2
589,Tuesday,Female,21-25 yr,Arms,3,2,3,4,3,4,3,2,2,3,3,4,4,4,5,4,3,4,4,3,2,4
590,Wednesday,Female,16-20 yr,Arms,1,1,1,3,3,3,4,4,2,3,3,3,4,4,2,3,3,3,4,2,2,2
591,Tuesday,Female,21-25 yr,Basket,1,1,1,4,4,4,4,4,4,3,3,3,4,4,4,4,2,4,3,4,5,5
592,Monday,Male,16-20 yr,Arms,2,3,3,2,2,2,2,2,1,4,4,4,4,4,2,2,2,4,4,2,1,2
593,Tuesday,Male,21-25 yr,Basket,5,4,5,3,3,3,2,2,2,5,4,5,3,3,2,3,2,5,5,3,4,5
594,Monday,Male,21-25 yr,Trolley,3,2,2,2,2,2,1,1,1,4,4,3,2,2,2,3,3,2,3,3,1,3
595,Tuesday,Female,26-30 yr,Trolley,1,2,1,3,3,2,3,2,3,3,3,3,3,4,3,2,2,4,4,3,3,2
597,Monday,Female,16-20 yr,Trolley,4,2,3,4,3,4,5,3,4,3,1,1,3,3,4,5,4,3,2,3,3,3
598,Monday,Male,16-20 yr,Arms,1,1,1,3,3,1,3,3,3,4,3,5,3,3,3,3,4,1,1,1,1,1
599,Thursday,Male,26-30 yr,Cart,4,1,4,3,1,4,2,3,1,4,1,4,4,4,2,2,1,4,4,3,4,3
600,Thursday,Male,26-30 yr,Basket,1,1,1,2,2,1,3,3,2,4,4,3,4,4,3,3,3,4,4,2,1,3
601,Thursday,Female,16-20 yr,Trolley,3,3,3,4,3,4,4,3,2,3,3,4,4,4,3,3,2,4,4,2,3,2
602,Thursday,Female,56-60 yr,Trolley,4,4,4,4,2,3,2,2,2,4,4,4,2,3,2,2,2,4,4,2,2,4
603,Saturday,Female,16-20 yr,Arms,4,2,2,2,1,3,4,1,2,4,2,2,4,2,2,3,1,5,5,2,2,3
605,Saturday,Male,56-60 yr,Cart,4,1,4,1,1,1,4,2,2,4,4,4,2,1,1,3,3,4,3,4,3,2
606,Wednesday,Male,16-20 yr,Arms,3,3,2,1,1,2,4,4,2,4,4,4,3,3,2,4,3,4,4,2,2,3
607,Tuesday,Male,16-20 yr,Arms,3,2,2,2,2,2,2,2,2,3,3,3,3,3,3,2,2,2,2,3,2,2
608,Saturday,Male,21-25 yr,Arms,2,3,2,3,3,3,3,3,1,4,4,4,3,3,3,3,3,4,4,4,3,3
609,Wednesday,Female,26-30 yr,Basket,1,1,1,4,3,3,4,2,3,2,3,2,4,4,3,4,4,3,4,2,3,4
610,Wednesday,Female,31-35 yr,Cart,1,1,1,3,2,4,4,4,4,4,3,3,2,2,2,4,3,4,4,3,2,2
611,Tuesday,Male,21-25 yr,Basket,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
612,Tuesday,Female,56-60 yr,Cart,2,3,2,3,2,4,4,2,3,4,3,4,4,4,2,2,3,1,2,3,2,2
613,Monday,Male,16-20 yr,Basket,3,1,3,3,2,3,4,4,4,5,5,2,2,4,3,3,3,3,4,3,2,3
614,Thursday,Female,16-20 yr,Basket,3,3,2,4,3,4,3,4,2,4,4,4,4,4,3,3,3,3,4,2,2,3
615,Monday,Male,16-20 yr,Basket,1,2,3,1,2,1,2,2,2,2,4,2,2,2,2,3,3,2,3,1,1,2
616,Tuesday,Male,21-25 yr,Trolley,4,3,3,4,2,3,2,2,1,3,3,3,3,3,2,5,2,2,3,3,3,3
617,Thursday,Female,16-20 yr,Basket,2,3,3,4,3,4,3,2,2,4,4,4,4,3,3,3,4,3,4,2,3,2
618,Tuesday,Male,16-20 yr,Trolley,2,3,4,2,2,2,4,3,2,2,3,2,3,2,3,5,5,2,2,2,2,2
619,Wednesday,Female,16-20 yr,Basket,3,3,3,5,5,4,4,3,3,4,4,4,4,4,5,3,2,4,4,3,5,5
620,Tuesday,Female,16-20 yr,Trolley,3,4,4,4,3,3,3,3,3,5,5,5,4,2,2,4,2,4,4,3,3,4
621,Monday,Female,51-55 yr,Cart,2,1,1,2,2,2,4,4,4,3,2,2,4,4,2,4,3,2,2,2,2,3
622,Thursday,Female,21-25 yr,Basket,4,3,3,4,4,3,2,2,2,3,4,4,2,2,2,4,4,3,3,4,4,4
623,Thursday,Male,26-30 yr,Arms,3,4,4,5,4,4,3,2,2,5,4,5,3,2,2,2,3,5,4,4,3,4
624,Wednesday,Female,41-45 yr,Arms,2,4,2,4,3,4,4,4,3,4,4,4,4,4,2,4,3,4,4,2,3,3
625,Tuesday,Female,31-35 yr,Cart,1,1,1,1,1,2,4,4,3,5,5,4,3,4,3,4,3,3,4,3,3,3
626,Tuesday,Female,21-25 yr,Trolley,3,3,3,2,2,2,4,4,3,4,3,3,4,3,4,3,3,4,4,2,2,1
628,Thursday,Female,21-25 yr,Arms,5,3,3,3,3,1,1,1,1,5,4,5,1,1,1,3,2,4,5,2,1,3
629,Thursday,Male,26-30 yr,Basket,3,1,2,2,1,1,1,1,1,2,2,3,1,1,1,1,2,2,2,1,1,1
630,Wednesday,Female,16-20 yr,Trolley,2,2,2,4,3,3,4,4,3,5,4,4,3,3,3,3,3,3,4,2,2,3
631,Thursday,Male,16-20 yr,Trolley,1,2,2,4,2,2,3,3,2,2,2,4,2,2,2,3,4,1,1,1,1,4
632,Wednesday,Male,51-55 yr,Cart,3,3,3,1,2,2,4,3,3,4,3,4,3,3,2,2,2,4,4,2,2,2
633,Wednesday,Female,21-25 yr,Trolley,3,3,3,1,3,2,4,4,3,4,2,2,3,3,3,3,4,2,2,3,2,2
634,Tuesday,Female,46-50 yr,Trolley,2,3,3,3,3,3,5,4,3,3,3,3,4,4,2,3,3,2,2,3,3,3
635,Wednesday,Male,61-65 yr,Basket,3,2,1,3,2,3,2,1,1,2,2,2,2,4,2,2,3,2,2,3,1,1
636,Wednesday,Male,31-35 yr,Trolley,1,1,1,3,1,3,2,2,2,4,4,4,2,2,2,3,2,2,2,1,1,1
637,Monday,Male,51-55 yr,Cart,4,4,4,2,2,2,2,1,4,4,4,4,4,4,2,4,4,3,3,3,2,4
638,Wednesday,Female,51-55 yr,Cart,3,5,3,4,3,4,2,2,2,4,4,4,2,2,2,2,2,5,4,3,3,4
639,Tuesday,Female,21-25 yr,Trolley,3,3,2,5,4,5,2,3,2,4,4,4,3,3,2,3,3,4,4,4,4,4
640,Wednesday,Female,26-30 yr,Basket,1,2,2,2,2,3,3,3,2,3,3,2,3,3,2,3,3,3,4,4,4,4
641,Friday,Male,51-55 yr,Basket,5,4,5,1,1,1,3,3,2,5,4,5,5,3,1,5,4,4,4,4,3,3
642,Wednesday,Male,71-75 yr,Basket,4,3,4,2,1,3,3,2,2,4,1,3,2,4,1,4,2,4,5,2,1,4
