id,handledag,gender,age,basket2,brand1,brand4,brand5,hedonic1,hedonic2,hedonic4,confused1,confused2,confused4,perf2,perf3,perf4,careless1,careless2,careless3,value1,value2,habit1,habit2,novelty1,novelty2,novelty3
63,Monday,Male,36-40 yr,Trolley,4,3,4,3,1,3,2,3,2,2,4,2,1,2,1,4,2,3,4,3,2,3
64,Wednesday,Female,46-50 yr,Basket,2,1,1,4,2,2,1,1,1,4,4,4,2,4,1,4,2,2,4,4,4,4
65,Tuesday,Female,41-45 yr,Cart,4,4,2,2,2,1,4,4,1,4,4,4,2,2,2,3,2,4,4,2,1,2
66,Thursday,Female,21-25 yr,Basket,1,2,2,5,2,4,2,2,2,4,3,3,5,4,2,2,2,5,4,4,4,2
67,Thursday,Male,46-50 yr,Cart,2,3,1,1,1,1,3,2,3,3,3,3,3,2,3,3,3,2,3,1,1,2
68,Wednesday,Female,21-25 yr,Trolley,2,1,1,3,2,2,2,2,4,4,3,5,2,4,2,2,3,1,4,2,2,3
69,Tuesday,Female,21-25 yr,Arms,2,2,2,5,4,4,3,2,2,3,3,4,4,4,3,3,2,3,4,4,3,4
70,Wednesday,Female,56-60 yr,Cart,2,2,2,3,2,2,3,2,2,4,4,4,2,2,1,4,2,4,4,2,2,3
71,Saturday,Male,31-35 yr,Cart,5,3,4,1,2,2,1,5,1,5,5,5,3,2,2,5,4,5,5,2,2,2
72,Wednesday,Female,26-30 yr,Basket,2,3,3,5,5,5,4,4,3,3,3,3,2,4,2,4,3,4,4,5,5,5
73,Tuesday,Male,56-60 yr,Cart,1,4,1,1,1,1,4,2,2,4,4,4,2,2,2,4,4,2,4,1,1,1
74,Monday,Male,36-40 yr,Arms,4,2,4,2,3,2,2,2,2,4,4,5,3,3,3,4,2,4,4,3,3,4
75,Wednesday,Female,41-45 yr,Cart,2,3,2,2,1,2,3,3,2,4,5,5,4,4,2,5,3,2,4,4,3,4
76,Tuesday,Male,26-30 yr,Cart,4,3,3,2,2,3,3,2,4,4,4,3,5,5,3,3,1,2,3,1,2,2
77,Friday,Male,41-45 yr,Basket,4,4,4,4,4,3,2,2,2,4,4,4,3,4,2,3,2,4,3,4,4,4
78,Thursday,Female,21-25 yr,Arms,2,1,1,4,4,4,4,2,4,4,4,4,4,4,4,4,4,2,2,2,1,2
79,Monday,Male,61-65 yr,Basket,1,1,1,2,1,2,3,1,1,2,2,3,2,2,1,3,1,3,3,1,1,1
80,Tuesday,Female,16-20 yr,Trolley,2,3,4,5,5,5,2,1,2,3,3,3,5,5,5,2,2,4,4,4,3,4
81,Wednesday,Male,51-55 yr,Trolley,1,1,1,1,1,1,4,4,4,1,1,3,4,4,4,3,3,4,4,2,1,1
82,Thursday,Female,21-25 yr,Basket,2,1,2,1,1,1,4,4,2,1,2,1,2,2,2,5,5,4,4,2,2,1
83,Friday,Female,21-25 yr,Arms,2,1,1,5,4,4,1,5,1,2,2,1,3,3,2,5,3,2,2,2,2,2
84,Wednesday,Male,31-35 yr,Arms,4,3,4,3,2,3,4,3,5,4,4,4,4,3,3,3,3,4,4,3,1,4
85,Tuesday,Female,21-25 yr,Basket,1,3,3,1,1,1,2,2,2,3,3,3,1,2,1,5,4,5,4,1,1,1
86,Wednesday,Male,31-35 yr,Arms,2,1,2,2,1,1,2,2,1,1,2,2,4,4,1,4,2,5,2,1,1,1
87,Tuesday,Female,51-55 yr,Arms,2,1,1,2,2,4,2,2,2,2,2,2,3,3,2,4,3,3,3,2,2,3
88,Monday,Female,26-30 yr,Cart,1,2,3,3,3,2,2,2,2,2,2,2,1,1,1,1,3,1,4,3,2,2
89,Thursday,Female,16-20 yr,Basket,4,3,4,4,4,4,2,3,1,4,4,3,4,4,4,3,2,4,4,4,4,4
90,Thursday,Male,21-25 yr,Basket,3,4,3,4,2,2,3,3,2,5,4,4,4,4,4,3,2,4,3,3,2,4
91,Thursday,Female,21-25 yr,Basket,1,2,2,4,4,1,3,3,3,3,2,2,2,2,3,3,3,2,3,2,2,2
92,Tuesday,Female,36-40 yr,Cart,3,3,2,4,3,3,4,4,4,4,4,4,3,3,3,3,3,4,4,3,2,2
93,Wednesday,Male,16-20 yr,Arms,4,4,2,2,2,2,2,2,2,5,4,5,2,2,2,5,3,4,4,2,2,2
94,Tuesday,Female,51-55 yr,Basket,3,2,2,4,4,3,1,4,3,3,2,3,3,3,2,3,4,4,3,4,3,4
95,Monday,Female,31-35 yr,Cart,2,1,1,5,4,5,1,1,1,5,2,2,5,5,2,2,2,5,5,2,2,4
96,Wednesday,Female,21-25 yr,Cart,2,2,2,4,4,4,4,3,3,4,3,3,4,4,3,4,3,4,3,2,3,2
97,Tuesday,Male,21-25 yr,Arms,4,4,4,3,2,2,2,3,2,3,4,4,1,1,1,2,3,4,3,2,2,3
98,Friday,Male,41-45 yr,Basket,4,4,4,4,4,3,2,2,2,4,4,4,3,4,2,3,2,4,3,4,4,4
99,Wednesday,Male,41-45 yr,Basket,4,4,4,4,4,3,2,2,2,4,4,4,3,4,2,3,2,4,3,4,4,4
100,Tuesday,Male,41-45 yr,Basket,4,4,4,4,4,3,2,2,2,4,4,4,3,4,2,3,2,4,3,4,4,4
101,Monday,Female,26-30 yr,Arms,5,5,5,3,2,3,2,1,2,3,3,3,3,4,3,5,3,5,5,4,4,4
102,Tuesday,Male,26-30 yr,Basket,1,1,1,2,2,2,2,2,2,3,3,3,3,3,2,3,2,3,4,1,1,2
103,Wednesday,Female,26-30 yr,Basket,2,4,1,4,4,4,2,2,2,4,4,4,3,4,3,3,2,4,3,5,5,4
104,Thursday,Female,31-35 yr,Trolley,3,3,3,2,1,3,3,3,3,4,4,3,4,5,3,5,3,3,3,3,3,3
105,Thursday,Female,31-35 yr,Arms,3,2,3,3,2,3,4,2,2,5,4,4,3,4,2,3,3,4,3,3,4,3
106,Wednesday,Male,21-25 yr,Basket,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
107,Wednesday,Female,26-30 yr,Cart,3,4,3,4,1,3,4,2,2,3,4,2,2,2,2,5,1,5,5,3,1,4
108,Wednesday,Female,31-35 yr,Arms,2,3,2,1,2,2,5,4,4,3,3,3,4,4,2,3,2,3,4,1,1,1
109,Tuesday,Female,21-25 yr,Basket,4,3,3,4,4,3,3,4,2,5,5,5,3,3,4,3,2,4,4,3,2,2
110,Monday,Male,26-30 yr,Trolley,1,2,2,1,1,1,2,3,3,1,1,1,4,4,3,4,4,4,4,1,1,1
111,Wednesday,Male,21-25 yr,Arms,1,1,1,3,3,3,3,3,3,2,2,3,4,4,4,4,3,1,1,1,1,1
112,Tuesday,Male,41-45 yr,Basket,4,4,4,4,4,3,2,2,2,4,4,4,3,4,2,3,2,4,3,4,4,4
113,Tuesday,Female,31-35 yr,Basket,3,2,3,4,4,4,3,3,2,5,4,4,3,4,2,5,3,4,4,3,3,3
114,Monday,Female,51-55 yr,Cart,2,2,2,1,1,1,2,2,2,4,4,4,4,2,2,3,4,4,4,2,1,1
115,Thursday,Female,21-25 yr,Basket,2,2,3,4,3,4,2,4,2,4,4,4,4,3,2,4,3,4,4,2,2,3
116,Monday,Female,26-30 yr,Cart,3,3,3,4,4,3,1,1,1,4,2,4,4,4,2,4,3,4,4,4,3,4
117,Thursday,Male,36-40 yr,Cart,4,3,4,2,1,1,2,1,3,4,4,5,5,4,3,3,2,4,4,1,1,1
118,Tuesday,Male,16-20 yr,Arms,3,2,2,1,1,1,4,3,3,3,2,2,5,5,5,3,3,4,4,2,2,2
119,Wednesday,Male,31-35 yr,Basket,4,3,4,2,2,2,3,2,4,4,3,4,5,3,2,3,3,5,4,1,1,3
120,Tuesday,Male,26-30 yr,Trolley,3,3,3,3,3,3,4,3,4,5,5,5,4,4,2,4,3,4,3,4,3,3
121,Thursday,Female,21-25 yr,Cart,3,1,3,4,4,3,2,2,2,5,4,4,3,2,1,4,4,4,4,3,3,3
122,Monday,Female,31-35 yr,Arms,2,1,1,4,3,3,4,3,1,3,1,3,4,4,3,3,1,2,4,2,3,3
123,Tuesday,Male,51-55 yr,Cart,2,2,2,1,1,3,3,3,5,3,4,4,3,3,3,3,2,3,4,2,2,2
124,Wednesday,Male,21-25 yr,Basket,2,2,2,2,1,3,2,2,2,4,4,4,2,4,3,3,3,2,2,1,2,2
125,Tuesday,Female,16-20 yr,Arms,2,3,3,4,4,4,4,2,2,4,3,4,4,4,4,3,3,3,2,4,4,4
126,Monday,Female,31-35 yr,Arms,4,3,4,4,3,4,4,4,3,5,4,4,2,4,4,4,4,4,4,4,2,2
127,Thursday,Female,51-55 yr,Trolley,2,3,3,3,2,3,3,3,2,4,4,3,3,3,2,5,3,4,4,3,2,3
128,Tuesday,Male,36-40 yr,Trolley,1,2,1,3,2,1,3,1,2,2,2,2,2,2,2,3,3,2,1,2,2,3
129,Wednesday,Female,16-20 yr,Basket,2,2,2,4,3,3,4,4,2,4,3,3,3,3,4,4,3,2,3,2,3,1
130,Tuesday,Female,16-20 yr,Basket,1,1,1,5,5,5,1,1,1,2,2,2,3,2,1,3,4,3,4,4,4,2
131,Monday,Female,26-30 yr,Basket,3,3,3,5,5,5,2,3,2,4,4,4,3,3,3,3,3,3,3,4,4,4
132,Tuesday,Male,36-40 yr,Arms,4,4,4,5,3,4,2,2,3,2,2,2,4,3,4,2,2,4,3,4,4,4
133,Wednesday,Female,26-30 yr,Cart,2,2,2,4,3,3,2,2,1,1,1,1,3,2,2,4,3,3,4,2,2,2
134,Tuesday,Male,21-25 yr,Basket,4,4,4,1,1,1,1,1,3,5,4,5,3,4,3,3,2,5,5,3,1,2
135,Monday,Female,21-25 yr,Basket,3,1,3,2,2,2,3,2,3,3,3,3,5,3,3,3,3,3,3,1,1,1
136,Thursday,Male,31-35 yr,Arms,4,3,4,3,2,3,4,3,5,4,4,4,4,3,3,3,3,4,4,3,1,4
137,Tuesday,Male,16-20 yr,Trolley,2,2,2,4,2,3,1,2,3,4,2,2,3,2,2,3,4,2,3,2,1,1
138,Wednesday,Male,21-25 yr,Arms,4,4,3,2,1,2,2,1,2,3,3,3,2,3,2,4,2,4,4,2,2,3
139,Saturday,Male,31-35 yr,Arms,4,3,4,3,2,3,4,3,5,4,4,4,4,3,3,3,3,4,4,3,1,4
140,Wednesday,Female,31-35 yr,Cart,2,2,1,4,3,3,3,3,1,3,3,3,5,5,4,3,4,5,5,5,5,4
141,Tuesday,Male,26-30 yr,Trolley,3,2,1,4,3,4,3,3,3,4,3,3,3,4,2,4,3,2,4,2,2,2
142,Monday,Male,36-40 yr,Cart,4,2,4,2,2,2,2,2,2,4,4,4,4,4,2,2,2,4,4,2,2,2
143,Thursday,Female,16-20 yr,Arms,3,3,3,5,2,3,4,3,4,3,4,3,5,5,5,4,3,4,3,1,1,1
144,Friday,Male,36-40 yr,Trolley,4,3,3,3,2,2,2,2,2,3,3,3,2,2,1,2,1,4,3,3,3,4
145,Friday,Female,51-55 yr,Trolley,2,3,3,4,4,4,4,4,4,5,5,5,3,3,3,1,1,2,4,4,4,4
146,Thursday,Male,31-35 yr,Cart,5,3,4,2,2,2,4,4,2,5,5,5,4,4,4,3,1,5,5,1,1,1
147,Thursday,Female,51-55 yr,Cart,1,3,1,2,2,2,2,2,2,2,2,2,3,3,2,2,2,1,1,2,1,1
148,Wednesday,Female,26-30 yr,Cart,2,3,1,4,3,2,4,4,2,4,4,4,3,2,3,2,2,4,5,2,3,2
149,Thursday,Female,26-30 yr,Basket,2,1,2,5,4,3,1,1,2,3,2,3,3,4,4,4,3,5,3,1,1,1
150,Wednesday,Male,31-35 yr,Trolley,2,4,4,2,1,1,3,2,2,5,4,5,3,4,1,4,3,4,4,2,2,2
151,Thursday,Female,21-25 yr,Basket,4,4,3,4,4,4,3,3,3,4,4,5,4,4,3,4,2,3,4,4,2,4
152,Tuesday,Male,21-25 yr,Basket,3,1,1,2,2,2,1,1,2,3,2,1,3,3,3,1,3,1,1,2,2,3
153,Tuesday,Female,31-35 yr,Basket,1,1,1,1,2,2,2,2,2,4,4,4,4,2,1,3,2,4,4,1,1,1
154,Wednesday,Male,31-35 yr,Trolley,4,3,4,2,1,1,2,2,4,4,4,4,2,2,1,2,3,4,4,2,2,3
155,Wednesday,Male,31-35 yr,Cart,2,2,2,1,1,1,2,2,2,4,4,4,4,4,3,4,2,1,2,1,1,2
156,Monday,Male,31-35 yr,Arms,4,3,3,1,1,1,2,3,2,4,4,4,4,4,4,3,3,3,4,2,2,3
158,Tuesday,Male,16-20 yr,Basket,1,3,4,2,1,1,1,1,1,5,5,5,4,3,2,3,4,3,4,1,1,1
159,Monday,Male,31-35 yr,Basket,2,3,3,1,1,1,4,2,2,4,3,4,4,4,4,3,3,4,4,3,1,2
160,Monday,Male,31-35 yr,Arms,4,2,4,3,2,2,3,2,2,5,5,4,3,3,2,4,4,3,3,2,2,2
161,Tuesday,Male,26-30 yr,Basket,1,1,1,1,1,1,3,2,3,4,3,3,2,2,3,3,3,3,4,1,1,1
162,Tuesday,Male,26-30 yr,Cart,3,2,2,2,2,1,4,4,3,3,3,1,4,4,4,5,4,4,4,1,1,1
163,Wednesday,Male,21-25 yr,Trolley,1,2,4,1,1,2,4,4,2,4,2,3,4,4,4,5,4,5,4,1,1,1
