"jaktar","sn","salg","min_airport_dist_km","area_ha","cabins_count","region","municipality","elevation","elevationmax","reallonn","tetthet","population","jeger_f","jeger_m","jeger_t","nearest_station","lufttemperatur","vindhastighet","nedbor","luftfuktighet","jeger_tett","reallonn_cap"
"2014-15","KAU20",65,61.931165482601,47494.8689280654,0,"Indre Finnmark","Kautokeino",379.684497214893,484,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU21",76,36.884767602862,19633.5572411225,0,"Indre Finnmark","Kautokeino",419.769945143984,615,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU22",101,35.2494932401468,35629.130293762,0,"Indre Finnmark","Kautokeino",421.872688903218,560,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU23",90,21.4370055383638,19660.4348977673,0,"Indre Finnmark","Kautokeino",473.908751279246,632,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU24",66,42.0401283729388,17718.8731980073,0,"Indre Finnmark","Kautokeino",446.186859994499,616,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU25",224,27.7926046197258,22332.2170310243,0,"Indre Finnmark","Kautokeino",453.958655605747,633,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU26",374,37.5652615293099,25389.1789126826,0,"Indre Finnmark","Kautokeino",417.430269161585,610,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU27",180,34.0038081418089,27990.6388454448,0,"Indre Finnmark","Kautokeino",420.231752728105,566,474.3,8.8,2956,15,120,135,NA,NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU3",270,57.6028537475477,55749.1333837443,0,"Indre Finnmark","Kautokeino",445.384448715403,652,474.3,8.8,2956,15,120,135,"SN93301",0.852906976744186,3.65852713178295,1.29457364341085,92.0193798449612,0.0456698240866035,0.160453315290934
"2014-15","KAU4",127,60.183529803374,27288.167399451,0,"Indre Finnmark","Kautokeino",398.746521275456,514,474.3,8.8,2956,15,120,135,"SN97470",NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","KAU5",133,49.8468420274252,23019.1284129849,0,"Indre Finnmark","Kautokeino",419.907283967046,517,474.3,8.8,2956,15,120,135,"SN97470",NA,NA,NA,NA,0.0456698240866035,0.160453315290934
"2014-15","LEB1",182,33.9292426909352,50524.9077688302,0,"Vest Finnmark kyst","Lebesby",281.277654888587,575,474.3,13.1,1318,10,95,105,"SN96220",NA,NA,1.77426470588235,NA,0.0796661608497724,0.359863429438543
"2014-15","LEB2",309,18.4635064673695,51533.1676914561,0,"Øst Finnmark","Lebesby",221.956348236057,425,474.3,8.7,1318,10,95,105,"SN96310",3.3097602739726,5.74178082191781,NA,77.9828767123288,0.0796661608497724,0.359863429438543
"2014-15","LEB3",311,52.617506066486,35634.0978510237,0,"Øst Finnmark","Lebesby",235.014257048494,486,474.3,8.7,1318,10,95,105,"SN96220",NA,NA,1.12051282051282,NA,0.0796661608497724,0.359863429438543
"2014-15","LEB4",43,63.0465933744378,43929.5612220201,0,"Vest Finnmark kyst","Lebesby",291.638878896265,510,474.3,13.1,1318,10,95,105,"SN95590",NA,NA,NA,NA,0.0796661608497724,0.359863429438543
"2014-15","LEB5",207,69.797503786896,58252.7163850778,0,"Øst Finnmark","Lebesby",313.071005690877,731,474.3,8.7,1318,10,95,105,"SN96220",NA,NA,0.773743016759777,NA,0.0796661608497724,0.359863429438543
"2014-15","LEB6",141,83.2514897690432,51659.1099407337,0,"Øst Finnmark","Lebesby",303.397117644522,509,474.3,8.7,1318,10,95,105,"SN96220",NA,NA,2.34296296296296,NA,0.0796661608497724,0.359863429438543
"2014-15","LEB7",27,45.9239470125123,51003.2533321133,0,"Vest Finnmark kyst","Lebesby",483.21582379302,1063,474.3,13.1,1318,10,95,105,"SN95590",NA,NA,0,NA,0.0796661608497724,0.359863429438543
"2014-15","LOP1",28,34.2419465983582,40477.1783705101,0,"Vest Finnmark kyst","Loppa",474.495798073666,1190,474.3,13.1,951,0,30,30,"SN92860",0.373214285714286,5.02857142857143,NA,NA,0.0315457413249211,0.498738170347003
"2014-15","LOP2",6,37.3216632537039,19103.5851101417,0,"Vest Finnmark kyst","Loppa",363.604898060304,1083,474.3,13.1,951,0,30,30,"SN92500",-4.81666666666667,NA,NA,NA,0.0315457413249211,0.498738170347003
"2014-15","LOP4",46,30.3934039516368,904.919005081485,0,"Vest Finnmark kyst","Loppa",109.379853902345,292,474.3,13.1,951,0,30,30,"SN92650",NA,NA,NA,NA,0.0315457413249211,0.498738170347003
"2014-15","MAS1",298,45.2216730224422,1056.8035487816,0,"Vest Finnmark kyst","Måsøy",125.322578521104,351,474.3,13.1,1215,10,80,90,"SN94455",NA,NA,NA,NA,0.0740740740740741,0.39037037037037
"2014-15","MAS2",70,46.4025206790122,3444.92800962756,0,"Vest Finnmark kyst","Måsøy",155.300173744394,363,474.3,13.1,1215,10,80,90,"SN94430",NA,NA,NA,NA,0.0740740740740741,0.39037037037037
"2014-15","MAS3",30,36.4125711975204,1149.2632716244,0,"Vest Finnmark kyst","Måsøy",115.589614638875,287,474.3,13.1,1215,10,80,90,"SN94430",NA,NA,NA,NA,0.0740740740740741,0.39037037037037
"2014-15","MAS4",295,45.4521639892768,95766.936709494,0,"Vest Finnmark kyst","Måsøy",244.414522963319,628,474.3,13.1,1215,10,80,90,"SN94430",NA,NA,NA,NA,0.0740740740740741,0.39037037037037
"2014-15","MAS5",492,35.551589090554,7755.68527371654,0,"Vest Finnmark kyst","Måsøy",129.989298859862,378,474.3,13.1,1215,10,80,90,"SN94455",NA,NA,NA,NA,0.0740740740740741,0.39037037037037
"2014-15","NES1",129,49.2716778142547,30451.7884597819,0,"Øst Finnmark","Nesseby",245.472187804934,496,474.3,8.7,959,10,60,70,"SN98974",NA,NA,NA,NA,0.072992700729927,0.494577685088634
"2014-15","NES2",362,37.9910249392783,39099.0540297441,0,"Øst Finnmark","Nesseby",246.56693626923,501,474.3,8.7,959,10,60,70,"SN98974",NA,NA,NA,NA,0.072992700729927,0.494577685088634
"2014-15","NES3",138,50.1087491521241,28094.5554991786,0,"Øst Finnmark","Nesseby",145.084572221327,413,474.3,8.7,959,10,60,70,"SN96890",NA,NA,NA,NA,0.072992700729927,0.494577685088634
"2014-15","NES4",122,40.5090971415208,43786.8434051846,0,"Øst Finnmark","Nesseby",241.690811701165,463,474.3,8.7,959,10,60,70,"SN99090",NA,NA,NA,NA,0.072992700729927,0.494577685088634
"2014-15","NOR1",305,10.1247155891564,42155.5620467014,0,"Vest Finnmark kyst","Nordkapp",198.269971305643,405,474.3,13.1,3276,10,125,135,"SN94680",3.58425925925926,6.5162962962963,NA,75.7148148148148,0.0412087912087912,0.14478021978022
"2014-15","NOR2",8,25.4519640149677,21955.0402350189,0,"Vest Finnmark kyst","Nordkapp",276.486994105094,575,474.3,13.1,3276,10,125,135,"SN94680",3.675,6.4875,NA,74.75,0.0412087912087912,0.14478021978022
"2014-15","NOR3",71,25.5052867627462,25222.8931890232,0,"Vest Finnmark kyst","Nordkapp",164.65473066022,485,474.3,13.1,3276,10,125,135,"SN94805",41.7,NA,NA,NA,0.0412087912087912,0.14478021978022
"2014-15","POR1",354,54.6671794226917,36052.965349906,0,"Vest Finnmark kyst","Porsanger",243.942514773473,624,474.3,13.1,3978,40,285,325,"SN94870",NA,NA,1.29466515323496,NA,0.0816993464052288,0.119230769230769
"2014-15","POR10",87,29.7284843799741,48637.5468851129,0,"Vest Finnmark kyst","Porsanger",505.132334038527,1135,474.3,13.1,3978,40,285,325,NA,NA,NA,NA,NA,0.0816993464052288,0.119230769230769
"2014-15","POR11",496,46.9318547538383,21830.8466421686,0,"Vest Finnmark kyst","Porsanger",153.619101764176,392,474.3,13.1,3978,40,285,325,NA,NA,NA,NA,NA,0.0816993464052288,0.119230769230769
"2014-15","POR2",355,51.5340478708051,24416.9934616508,0,"Vest Finnmark kyst","Porsanger",199.403962575674,480,474.3,13.1,3978,40,285,325,"SN94800",NA,NA,1.43732193732194,NA,0.0816993464052288,0.119230769230769
"2014-15","POR3",471,33.7837610231877,44937.725376317,0,"Vest Finnmark kyst","Porsanger",256.054197606143,525,474.3,13.1,3978,40,285,325,"SN94870",NA,NA,1.15333333333333,NA,0.0816993464052288,0.119230769230769
"2014-15","POR4",315,32.2837228525186,64683.3765833403,0,"Vest Finnmark kyst","Porsanger",390.113314124387,692,474.3,13.1,3978,40,285,325,"SN95590",NA,NA,NA,NA,0.0816993464052288,0.119230769230769
"2014-15","POR5",72,17.8290157433113,65287.4672750738,1,"Vest Finnmark kyst","Porsanger",353.212083244918,1040,474.3,13.1,3978,40,285,325,"SN95350",1.845,5.38714285714286,0.795714285714286,74.3857142857143,0.0816993464052288,0.119230769230769
"2014-15","POR6",41,28.8014220478981,38687.9087078267,0,"Vest Finnmark kyst","Porsanger",529.587996170637,1004,474.3,13.1,3978,40,285,325,"SN95350",2.84333333333333,5.26333333333333,0.488333333333333,74.2666666666667,0.0816993464052288,0.119230769230769
"2014-15","POR7",128,10.1036953269693,38080.5123974381,1,"Vest Finnmark kyst","Porsanger",325.541274415743,1042,474.3,13.1,3978,40,285,325,"SN95350",4.125,4.83260869565217,0.888043478260869,76.4130434782609,0.0816993464052288,0.119230769230769
"2014-15","POR8",167,25.3209083124979,36886.8792874687,1,"Vest Finnmark kyst","Porsanger",328.641065466878,1043,474.3,13.1,3978,40,285,325,"SN95350",1.62191358024691,6.45864197530864,0.570679012345679,74.5802469135803,0.0816993464052288,0.119230769230769
"2014-15","POR9",40,15.565454345893,54617.7201637024,1,"Vest Finnmark kyst","Porsanger",456.361907796628,1131,474.3,13.1,3978,40,285,325,"SN95350",-0.282857142857143,5.17142857142857,0.465714285714286,75.5428571428571,0.0816993464052288,0.119230769230769
"2014-15","SVA1",303,44.9001775883575,52961.4392050934,0,"Øst Finnmark","Sør-Varanger",269.042853386967,420,474.3,8.7,10227,145,900,1045,"SN99600",NA,NA,NA,NA,0.10218050259118,0.0463772367263127
"2014-15","SVA10",645,36.6535907523833,20829.1645077185,1,"Øst Finnmark","Sør-Varanger",128.821447312568,260,474.3,8.7,10227,145,900,1045,NA,NA,NA,NA,NA,0.10218050259118,0.0463772367263127
"2014-15","SVA11",499,49.0613258029464,19465.5117729969,3,"Øst Finnmark","Sør-Varanger",161.412455383647,335,474.3,8.7,10227,145,900,1045,NA,NA,NA,NA,NA,0.10218050259118,0.0463772367263127
"2014-15","SVA12",1248,72.9215473748795,28946.5933103603,6,"Øst Finnmark","Sør-Varanger",118.846126465863,260,474.3,8.7,10227,145,900,1045,NA,NA,NA,NA,NA,0.10218050259118,0.0463772367263127
"2014-15","SVA2",258,27.92242691332,36834.2938283461,0,"Øst Finnmark","Sør-Varanger",163.057691798917,489,474.3,8.7,10227,145,900,1045,"SN99600",NA,NA,NA,NA,0.10218050259118,0.0463772367263127
"2014-15","SVA3",149,15.5157801835879,25219.6238322872,0,"Øst Finnmark","Sør-Varanger",136.916598582375,445,474.3,8.7,10227,145,900,1045,"SN99160",NA,NA,NA,NA,0.10218050259118,0.0463772367263127
"2014-15","SVA4",74,10.6041549786474,13264.9318590713,0,"Øst Finnmark","Sør-Varanger",93.6152901410816,442,474.3,8.7,10227,145,900,1045,"SN99370",4.05,5.37586206896552,NA,85.5428571428571,0.10218050259118,0.0463772367263127
"2014-15","SVA5",536,23.0965306223029,42927.9307662026,1,"Øst Finnmark","Sør-Varanger",160.483842326381,456,474.3,8.7,10227,145,900,1045,"SN99670",NA,NA,NA,NA,0.10218050259118,0.0463772367263127
"2014-15","SVA6",203,28.8555439857895,34092.9943494791,0,"Øst Finnmark","Sør-Varanger",205.984430267038,404,474.3,8.7,10227,145,900,1045,"SN99670",NA,NA,NA,NA,0.10218050259118,0.0463772367263127
"2014-15","SVA7",512,3.95942693401446,24585.4395465564,0,"Øst Finnmark","Sør-Varanger",143.973953159273,309,474.3,8.7,10227,145,900,1045,"SN99380",NA,NA,NA,NA,0.10218050259118,0.0463772367263127
"2014-15","SVA8",250,26.3911422508784,33864.0953216732,0,"Øst Finnmark","Sør-Varanger",150.559071378815,329,474.3,8.7,10227,145,900,1045,"SN99340",NA,NA,1.43799126637555,NA,0.10218050259118,0.0463772367263127
